Slug,Status,FAQCount,HasAISummary,TitleHasEmoji,TitleHasDate,InternalLinkCount,HasBlogPostingSchema,HasFAQSchema,HasTable,Notes
10mg-gold-price-2026,OK,5,false,false,true,5,true,true,true,""
14k-gold-recovery-price-2026,OK,0,false,false,true,5,true,true,true,""
24hr-gold-shop-taipei-2026,OK,0,false,false,true,5,true,true,true,""
916-gold-price-today-2026,OK,0,false,false,true,4,true,true,true,""
916-gold-recycling-taiwan-2026,OK,0,false,false,true,6,true,true,true,""
au750-gold-price-guide,OK,0,false,false,true,6,true,true,true,""
before-selling-gold,OK,5,true,true,true,10,true,true,false,""
broken-gold-recovery,OK,5,true,true,true,11,true,true,false,""
daily-gold-price-per-qian,OK,6,true,false,true,4,true,true,true,""
diamond-jewelry,OK,3,true,true,true,9,true,true,false,""
diamond-recovery-price,OK,5,false,false,true,3,true,true,true,""
factors-affecting-gold-price,OK,0,true,true,true,10,true,true,false,""
gia-diamond-appraisal-taiwan,OK,0,false,false,true,5,true,true,true,""
gold-9999-recovery,OK,3,true,true,true,5,true,true,false,""
gold-antique,OK,3,true,true,true,5,true,true,false,""
gold-appraise,OK,6,true,true,true,10,true,true,false,""
gold-auction,OK,6,true,true,true,10,true,true,true,""
gold-bar-recovery,OK,0,true,true,true,10,true,true,false,""
gold-birthday-gift,OK,2,true,true,true,5,true,true,false,""
gold-bracelet-recovery,OK,2,true,true,true,5,true,true,false,""
gold-buying-guide-beginner-2026,OK,0,false,false,true,6,true,true,true,""
gold-calculator,OK,5,true,true,true,11,true,true,true,""
gold-coin-invest,OK,6,true,true,true,9,true,true,true,""
gold-coin-recovery,OK,0,true,true,true,13,true,true,false,""
gold-culture,OK,2,true,true,true,5,true,true,false,""
gold-earring-recovery,OK,2,true,true,true,5,true,true,false,""
gold-family,OK,2,true,true,true,5,true,true,false,""
gold-id-requirement,OK,7,true,true,true,6,true,true,true,""
gold-identification,OK,5,true,true,true,7,true,true,false,""
gold-insurance,OK,1,true,true,true,5,true,true,false,""
gold-jewelry-care-guide,OK,0,false,false,true,6,false,true,true,""
gold-jewelry-recovery,OK,0,true,true,true,12,true,true,false,""
gold-jewelry-types-recovery,OK,0,false,false,true,6,true,true,true,""
gold-liquid,OK,6,true,true,true,11,true,true,false,""
gold-measurement-unit-converter,OK,0,false,false,true,6,true,true,true,""
gold-necklace-recovery,OK,2,true,true,true,5,true,true,false,""
gold-pendant-recovery,OK,2,true,true,true,5,true,true,false,""
gold-per-gram-taiwan-2026,OK,0,false,false,true,6,true,true,true,""
gold-price-2026,OK,0,true,true,true,8,true,true,false,""
gold-price-forecast-2026,OK,0,true,true,true,5,true,false,false,""
gold-price-guide-2026,OK,3,true,true,true,5,true,true,true,""
gold-price-key-factors,OK,0,true,true,true,5,true,false,true,""
gold-price-per-liang-taiwan-2026,OK,1,false,true,true,5,true,true,true,""
gold-price-per-liang-today-2026,OK,1,false,false,true,6,true,true,true,""
gold-price-per-qian-buy-vs-sell,OK,5,false,false,true,4,true,true,true,""
gold-price-today-taiwan-april-tracker-2026,OK,1,false,false,true,5,true,true,true,""
gold-purity,OK,6,true,true,true,10,true,true,false,""
gold-recovery-common-questions,OK,10,true,true,true,4,true,true,false,""
gold-recovery-faq,OK,5,true,true,true,15,true,true,false,""
